"V2" "V1" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "NAME"
"1" 600001 "IN" "Madras Gpo" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "Stanley Hospital"
"2" 600001 "IN" "Flower Bazar" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "Stanley Hospital"
"3" 600001 "IN" "Wal Tax Road" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "Stanley Hospital"
"4" 600001 "IN" "M P T Admn Office" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "Stanley Hospital"
"5" 600003 "IN" "Edapalayam" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "General Hospital"
"6" 600003 "IN" "Edapalayam" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "Dental College Hospital "
"7" 600003 "IN" "Madras Medical College" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "General Hospital"
"8" 600003 "IN" "Madras Medical College" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "Dental College Hospital "
"9" 600003 "IN" "Central Station" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "General Hospital"
"10" 600003 "IN" "Central Station" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0656 80.2672 NA "Dental College Hospital "
"11" 600005 "IN" "Chepauk" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0594 80.2789 4 "Kasturba Gandhi Hospital For Women And Children"
"12" 600005 "IN" "Madras Presidency College" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0594 80.2789 NA "Kasturba Gandhi Hospital For Women And Children"
"13" 600005 "IN" "Madras University" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0594 80.2789 NA "Kasturba Gandhi Hospital For Women And Children"
"14" 600008 "IN" "Egmore High Road" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0717 80.2556 NA "Institute Of Obstetrics And Gynaecology And Government Hospital For Women And Children"
"15" 600008 "IN" "Egmore High Road" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0717 80.2556 NA "Institute Of Child Health And Hospital For Children"
"16" 600008 "IN" "Egmore" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0717 80.2556 4 "Institute Of Obstetrics And Gynaecology And Government Hospital For Women And Children"
"17" 600008 "IN" "Egmore" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0717 80.2556 4 "Institute Of Child Health And Hospital For Children"
"18" 600014 "IN" "Ligods Estate" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0025 80.2061 NA "Royapettah Hospital"
"19" 600014 "IN" "Ligods Road" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0025 80.2061 NA "Royapettah Hospital"
"20" 600014 "IN" "Jam Bazaar" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0025 80.2061 NA "Royapettah Hospital"
"21" 600032 "IN" "Madras Race Course" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0389 80.2258 NA "King Institute Of Preventive Medicine"
"22" 600032 "IN" "Alandur North" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0389 80.2258 NA "King Institute Of Preventive Medicine"
"23" 600032 "IN" "Hindustan Teleprinters" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0389 80.2258 NA "King Institute Of Preventive Medicine"
"24" 600047 "IN" "Tambaram Sanitorium" "Tamil Nadu" "TN" "Chennai" NA NA NA 13.0385 80.2345 NA "Government Hospital For Thoracic Medicine"
"25" 600106 "IN" "D G Vaishnav College" "Tamil Nadu" "TN" "Chengai Anna" NA NA NA 12.9819 80.2406 NA "Siddha Medical College"
