Pincode	Area	State	City	Latitude	Longitude	Name
600001	Madras Gpo	Tamil Nadu	Chennai	13.0656	80.2672	Stanley Hospital
600001	Flower Bazar	Tamil Nadu	Chennai	13.0656	80.2672	Stanley Hospital
600001	Wal Tax Road	Tamil Nadu	Chennai	13.0656	80.2672	Stanley Hospital
600001	M P T Admn Office	Tamil Nadu	Chennai	13.0656	80.2672	Stanley Hospital
600003	Edapalayam	Tamil Nadu	Chennai	13.0656	80.2672	General Hospital
600003	Edapalayam	Tamil Nadu	Chennai	13.0656	80.2672	Dental College Hospital 
600003	Madras Medical College	Tamil Nadu	Chennai	13.0656	80.2672	General Hospital
600003	Madras Medical College	Tamil Nadu	Chennai	13.0656	80.2672	Dental College Hospital 
600003	Central Station	Tamil Nadu	Chennai	13.0656	80.2672	General Hospital
600003	Central Station	Tamil Nadu	Chennai	13.0656	80.2672	Dental College Hospital 
600005	Chepauk	Tamil Nadu	Chennai	13.0594	80.2789	Kasturba Gandhi Hospital For Women And Children
600005	Madras Presidency College	Tamil Nadu	Chennai	13.0594	80.2789	Kasturba Gandhi Hospital For Women And Children
600005	Madras University	Tamil Nadu	Chennai	13.0594	80.2789	Kasturba Gandhi Hospital For Women And Children
600008	Egmore High Road	Tamil Nadu	Chennai	13.0717	80.2556	Institute Of Obstetrics And Gynaecology And Government Hospital For Women And Children
600008	Egmore High Road	Tamil Nadu	Chennai	13.0717	80.2556	Institute Of Child Health And Hospital For Children
600008	Egmore	Tamil Nadu	Chennai	13.0717	80.2556	Institute Of Obstetrics And Gynaecology And Government Hospital For Women And Children
600008	Egmore	Tamil Nadu	Chennai	13.0717	80.2556	Institute Of Child Health And Hospital For Children
600014	Ligods Estate	Tamil Nadu	Chennai	13.0025	80.2061	Royapettah Hospital
600014	Ligods Road	Tamil Nadu	Chennai	13.0025	80.2061	Royapettah Hospital
600014	Jam Bazaar	Tamil Nadu	Chennai	13.0025	80.2061	Royapettah Hospital
600032	Madras Race Course	Tamil Nadu	Chennai	13.0389	80.2258	King Institute Of Preventive Medicine
600032	Alandur North	Tamil Nadu	Chennai	13.0389	80.2258	King Institute Of Preventive Medicine
600032	Hindustan Teleprinters	Tamil Nadu	Chennai	13.0389	80.2258	King Institute Of Preventive Medicine
600047	Tambaram Sanitorium	Tamil Nadu	Chennai	13.0385	80.2345	Government Hospital For Thoracic Medicine
600106	D G Vaishnav College	Tamil Nadu	Chengai Anna	12.9819	80.2406	Siddha Medical College
